sample,tempo para fechamento,tempo merge,merge user seguidores,merge user tempo no GitHub,closed_count,open_count,merged_count,not_merged_count
aws-samples/amazon-chime-sdk-js-device-demo,10.928571428571429,10.928571428571429,2.9285714285714284,700.0714285714286,14.0,0.0,14.0,14.0
aws-samples/amazon-chime-sdk-meetings-breakout-rooms,1.0,1.0,1.0,196.0,1.0,0.0,1.0,1.0
aws-samples/amazon-chime-sdk-recording-demo,4.476190476190476,2.411764705882353,4.823529411764706,1357.8823529411766,21.0,4.0,17.0,17.0
aws-samples/amazon-chime-sdk-smart-video-sending-demo,1.1538461538461537,1.1538461538461537,2.923076923076923,538.4615384615385,13.0,1.0,13.0,13.0
aws-samples/amazon-chime-voice-connector-automated-reports,8.5,8.5,0.0,1113.0,2.0,0.0,2.0,2.0
aws-samples/amazon-chime-voiceconnector-transcription,0.6842105263157895,0.6285714285714286,0.0,280.8857142857143,38.0,0.0,35.0,35.0
aws-samples/amazon-cloud-directory-sample,,,,,0.0,1.0,0.0,0.0
aws-samples/amazon-cloudfront-access-logs-queries,7.428571428571429,17.333333333333332,34.0,3295.6666666666665,7.0,2.0,3.0,3.0
aws-samples/amazon-cloudfront-functions,1.5,1.5,0.0,337.5,2.0,1.0,2.0,2.0
aws-samples/amazon-cloudfront-secure-static-site,2.36,2.6818181818181817,16.40909090909091,2288.2272727272725,25.0,1.0,22.0,22.0
aws-samples/amazon-cloudfront-signed-urls-using-lambda-secretsmanager,22.0,22.0,0.0,166.0,4.0,0.0,3.0,3.0
aws-samples/amazon-cloudfront-waf-secretsmanager,5.0,5.0,1.0,2236.0,1.0,0.0,1.0,1.0
aws-samples/amazon-cloudwatch-agent-to-archive-logs,1.5,3.0,4.0,1780.0,2.0,0.0,1.0,1.0
aws-samples/amazon-cloudwatch-auto-alarms,0.0,0.0,1.0,2363.2,5.0,0.0,5.0,5.0
aws-samples/amazon-cloudwatch-container-insights,3.6818181818181817,1.7179487179487178,1.7435897435897436,1140.948717948718,44.0,6.0,39.0,39.0
aws-samples/amazon-cloudwatch-percentiles-high-volume-data-monitoring,0.0,0.0,3.0,2497.0,1.0,1.0,1.0,1.0
aws-samples/amazon-codeguru-reviewer-sample-app,0.125,0.0,,,72.0,40.0,1.0,1.0
aws-samples/amazon-cognito-example-for-external-idp,4.14,2.234042553191489,47.0,3472.1702127659573,50.0,0.0,47.0,47.0
aws-samples/amazon-cognito-facial-recognition-auth,245.5,3.0,31.0,2047.0,2.0,0.0,1.0,1.0
aws-samples/amazon-cognito-identity-management-workshop,73.44444444444444,20.0,12.0,941.0,9.0,7.0,1.0,1.0
aws-samples/amazon-cognito-passwordless-email-auth,4.157894736842105,0.35294117647058826,5.0,2101.0,19.0,6.0,17.0,17.0
aws-samples/amazon-comprehend-custom-entity,,,,,0.0,1.0,0.0,0.0
aws-samples/amazon-comprehend-doc-search,40.6,30.25,3.0,1272.75,5.0,1.0,4.0,4.0
aws-samples/amazon-comprehend-examples,10.333333333333334,10.333333333333334,0.0,200.5,6.0,0.0,6.0,6.0
aws-samples/amazon-comprehend-medical-fhir-integration,251.33333333333334,370.5,3.0,1074.0,3.0,0.0,2.0,2.0
aws-samples/amazon-comprehend-medical-image-deidentification,,,,,0.0,1.0,0.0,0.0
aws-samples/amazon-congnito-user-pool-exporter,0.0,0.0,0.0,768.0,1.0,0.0,1.0,1.0
aws-samples/amazon-connect-ivr-searchandplay,0.0,0.0,0.0,586.6666666666666,6.0,0.0,6.0,6.0
aws-samples/amazon-connect-workshop,,,,,0.0,1.0,0.0,0.0
aws-samples/amazon-dax-lambda-nodejs-sample,59.5,41.0,36.0,3251.0,2.0,0.0,1.0,1.0
aws-samples/amazon-deequ-glue,0.0,0.0,12.8,1776.8,5.0,0.0,5.0,5.0
aws-samples/amazon-detective-multiaccount-scripts,15.571428571428571,15.571428571428571,2.142857142857143,1482.4285714285713,7.0,1.0,7.0,7.0
aws-samples/amazon-documentdb-integration-with-application-autoscaler,,,,,0.0,1.0,0.0,0.0
aws-samples/amazon-documentdb-samples,4.181818181818182,4.181818181818182,42.09090909090909,2777.0,11.0,0.0,11.0,11.0
aws-samples/amazon-dynamodb-chat-sample,0.0,0.0,0.0,6.166666666666667,6.0,0.0,6.0,6.0
aws-samples/amazon-dynamodb-implementing-priority-queuing,105.0,,,,1.0,1.0,0.0,0.0
aws-samples/amazon-dynamodb-labs,11.35,11.35,8.85,3374.275,40.0,2.0,40.0,40.0
aws-samples/amazon-ec2-auto-scaling-group-examples,0.0,0.0,12.0,3379.0,1.0,0.0,1.0,1.0
aws-samples/amazon-ec2-global-dashboard,0.0,0.0,3.0,1957.5,2.0,0.0,2.0,2.0
aws-samples/amazon-ec2-hpc-automation-samples,0.0,0.0,2.0,1847.0,1.0,1.0,1.0,1.0
aws-samples/amazon-ec2-image-builder-samples,9.214285714285714,8.538461538461538,19.76923076923077,3150.6923076923076,14.0,1.0,13.0,13.0
aws-samples/amazon-ec2-mssql-workshop,0.0,0.0,5.0,1530.0,2.0,0.0,2.0,2.0
aws-samples/amazon-ec2-native-infrastructure-security-workshop,40.0,40.0,1.0,1869.0,1.0,0.0,1.0,1.0
aws-samples/amazon-ecr-continuous-scan,0.0,0.0,941.0,4467.0,1.0,0.0,1.0,1.0
aws-samples/amazon-ecr-cross-region-replication,1.5,1.5,15.0,2421.5,2.0,0.0,2.0,2.0
aws-samples/amazon-ecr-privatelink-blog,0.0,0.0,0.0,1730.5,2.0,0.0,2.0,2.0
aws-samples/amazon-ecs-and-aws-step-functions-design-patterns-starter-kit,0.0,0.0,9.0,729.0,1.0,0.0,1.0,1.0
aws-samples/amazon-ecs-catsndogs-workshop,47.82608695652174,47.82608695652174,3.869565217391304,1388.8260869565217,23.0,1.0,23.0,23.0
aws-samples/amazon-ecs-chargeback,,,,,0.0,2.0,0.0,0.0
aws-samples/amazon-ecs-cli-sample-app,0.0,0.0,87.0,2654.0,2.0,1.0,1.0,1.0
aws-samples/amazon-ecs-fargate-aspnetcore,155.5,65.0,2.0,792.5,4.0,0.0,2.0,2.0
aws-samples/amazon-ecs-fargate-cdk-cicd,4.0,3.3333333333333335,3.0,1669.0,9.0,1.0,3.0,3.0
aws-samples/amazon-ecs-fargate-consul-connect-example,3.0,3.0,17.0,1268.0,3.0,1.0,3.0,3.0
aws-samples/amazon-ecs-fargate-workshop-dev-ops-data,0.0,0.0,0.0,895.0,2.0,1.0,1.0,1.0
aws-samples/amazon-ecs-firelens-examples,2.84375,3.3333333333333335,31.962962962962962,1038.2962962962963,32.0,0.0,27.0,27.0
aws-samples/amazon-ecs-firelens-under-the-hood,1.0,1.0,34.0,888.0,1.0,0.0,1.0,1.0
aws-samples/amazon-ecs-fluent-bit-daemon-service,0.0,0.0,487.5,2345.5,2.0,0.0,2.0,2.0
aws-samples/amazon-ecs-for-beginners-catsdogs,1.0,,,,1.0,0.0,0.0,0.0
aws-samples/amazon-ecs-fullstack-app-terraform,0.0,0.0,7.0,963.0,1.0,0.0,1.0,1.0
aws-samples/amazon-ecs-gmsa,,,,,0.0,1.0,0.0,0.0
aws-samples/amazon-ecs-java-microservices,1.6666666666666667,5.0,4.0,441.0,3.0,2.0,1.0,1.0
aws-samples/amazon-ecs-mythicalmysfits-workshop,135.5,56.285714285714285,3.857142857142857,2436.0,10.0,16.0,7.0,7.0
aws-samples/amazon-efs-tutorial,18.0,18.0,112.5,2710.0,2.0,3.0,2.0,2.0
aws-samples/amazon-efs-workshop,0.0,0.0,214.0,3070.0,1.0,1.0,1.0,1.0
aws-samples/amazon-eks-and-amazon-ec2-k8s-container-networking-workshops,8.9,4.25,31.0,767.25,10.0,0.0,8.0,8.0
aws-samples/amazon-eks-cdk-blue-green-cicd,24.0,2.0,3.0,1796.0,2.0,0.0,1.0,1.0
aws-samples/amazon-eks-cicd-codebuild,0.47701149425287354,0.38125,63.65625,1363.56875,174.0,0.0,160.0,160.0
aws-samples/amazon-eks-custom-amis,3.05,1.3571428571428572,34.0,3539.0714285714284,20.0,2.0,14.0,14.0
aws-samples/amazon-eks-fluent-logging-examples,0.0,0.0,13.0,2345.6666666666665,3.0,0.0,3.0,3.0
aws-samples/amazon-eks-gmsa,6.666666666666667,10.0,6.0,235.5,3.0,1.0,2.0,2.0
aws-samples/amazon-eks-jenkins-terraform,0.0,,,,1.0,3.0,0.0,0.0
aws-samples/amazon-eks-machine-learning-with-terraform-and-kubeflow,5.0,5.0,6.0,2313.5,2.0,0.0,2.0,2.0
aws-samples/amazon-eks-refarch-cloudformation,1.153225806451613,0.15384615384615385,128.5042735042735,1769.5897435897436,124.0,0.0,117.0,117.0
aws-samples/amazon-eks-saga-choreography,0.0,0.0,0.0,123.5,2.0,0.0,2.0,2.0
aws-samples/amazon-eks-saga-choreography-audit,0.0,0.0,0.0,123.0,1.0,0.0,1.0,1.0
aws-samples/amazon-eks-saga-choreography-aws,0.0,0.0,0.0,123.0,1.0,0.0,1.0,1.0
aws-samples/amazon-eks-saga-choreography-cluster,0.0,0.0,0.0,123.0,1.0,0.0,1.0,1.0
aws-samples/amazon-eks-saga-choreography-db,0.0,0.0,0.0,123.0,1.0,0.0,1.0,1.0
aws-samples/amazon-eks-saga-orchestration,0.0,0.0,0.0,153.07692307692307,13.0,0.0,13.0,13.0
aws-samples/amazon-eks-saga-orchestration-cluster,0.0,0.0,0.0,143.25,4.0,0.0,4.0,4.0
aws-samples/amazon-elasticache-samples,40.714285714285715,2.75,12.5,2485.25,7.0,0.0,4.0,4.0
aws-samples/amazon-elasticsearch-intro-workshop,0.0,0.0,5.25,2927.25,8.0,0.0,8.0,8.0
aws-samples/amazon-elasticsearch-lambda-samples,211.33333333333334,14.5,107.5,1585.0,3.0,5.0,2.0,2.0
aws-samples/amazon-elasticsearch-service-monitor,5.6,4.25,0.0,2614.25,5.0,1.0,4.0,4.0
aws-samples/amazon-elasticsearch-service-with-authentication,14.0,14.0,0.0,373.0,1.0,1.0,1.0,1.0
aws-samples/amazon-elasticsearch-service-with-cognito,0.0,0.0,34.0,3451.0,2.0,0.0,1.0,1.0
aws-samples/amazon-emr-optimize-data-processing,,,,,0.0,1.0,0.0,0.0
aws-samples/amazon-emr-with-juicefs,3.358695652173913,0.4,0.95,530.1333333333333,184.0,5.0,60.0,60.0
aws-samples/amazon-eventbridge-cdk-audit-service-sample,0.0,0.0,10.0,2317.0,4.0,0.0,3.0,3.0
aws-samples/amazon-eventbridge-producer-consumer-example,41.0,,,,1.0,0.0,0.0,0.0
aws-samples/amazon-eventbridge-resource-policy-samples,0.0,0.0,22.0,3697.6666666666665,3.0,0.0,3.0,3.0
aws-samples/amazon-forecast-automation,0.0,0.0,3.0,2110.0,1.0,0.0,1.0,1.0
aws-samples/amazon-forecast-samples,4.7190082644628095,1.75,12.836538461538462,3238.0096153846152,121.0,4.0,104.0,104.0
aws-samples/amazon-frauddetector-mlops-multiaccount-cdk,1.0,1.0,7.0,2762.0,1.0,0.0,1.0,1.0
aws-samples/amazon-freertos-iot-conveyor-belt,26.0,26.0,0.0,196.25,8.0,1.0,8.0,8.0
aws-samples/amazon-freertos-ota-scripts,6.0,6.0,0.0,571.0,2.0,0.0,2.0,2.0
aws-samples/amazon-fsx-tutorial,7.0,,,,1.0,0.0,0.0,0.0
aws-samples/amazon-fsx-workshop,175.66666666666666,132.0,11.0,2376.0,3.0,1.0,1.0,1.0
aws-samples/amazon-gamelift-ultrafrogroyale-large-match-sample,6.333333333333333,6.333333333333333,4.0,1286.0,3.0,0.0,3.0,3.0
aws-samples/amazon-gamelift-unity,23.75,0.0,4.0,1213.5,4.0,0.0,2.0,2.0
aws-samples/amazon-guardduty-hands-on,10.818181818181818,10.818181818181818,3.909090909090909,460.45454545454544,11.0,0.0,11.0,11.0
aws-samples/amazon-guardduty-multiaccount-scripts,34.5,13.153846153846153,6.3076923076923075,1800.923076923077,18.0,2.0,13.0,13.0
aws-samples/amazon-guardduty-to-slack,215.58333333333334,146.125,30.25,1390.125,12.0,0.0,8.0,8.0
aws-samples/amazon-guardduty-to-splunk-enterprise-demo,,,,,0.0,1.0,0.0,0.0
aws-samples/amazon-guardduty-waf-acl,75.0,75.0,1.0,1825.0,1.0,0.0,1.0,1.0
aws-samples/amazon-honeycode-connect-integration-sample,1.0,1.0,0.0,2418.5,4.0,0.0,4.0,4.0
aws-samples/amazon-honeycode-quicksight-integration-sample,6.0,0.4,1.0,2752.0,6.0,0.0,5.0,5.0
aws-samples/amazon-honeycode-table-api-integration-sample,2.3846153846153846,2.3846153846153846,1.0,2753.0,13.0,0.0,13.0,13.0
aws-samples/amazon-ipc-ai-saas,0.0,0.0,3.0,333.0,1.0,0.0,1.0,1.0
aws-samples/amazon-ivs-chime-web-demo,3.857142857142857,4.5,2.6666666666666665,244.66666666666666,7.0,0.0,6.0,6.0
aws-samples/amazon-ivs-clip-web-demo,8.25,8.25,3.5,273.0,4.0,0.0,4.0,4.0
aws-samples/amazon-ivs-closed-captions-web-demo,1.8,2.25,2.25,215.25,5.0,0.0,4.0,4.0
aws-samples/amazon-ivs-ecommerce-android-demo,11.166666666666666,11.166666666666666,4.333333333333333,270.5,6.0,0.0,6.0,6.0
aws-samples/amazon-ivs-ecommerce-ios-demo,3.5,3.5,1.0,299.0,2.0,0.0,2.0,2.0
aws-samples/amazon-ivs-ecommerce-web-demo,5.0,2.2857142857142856,4.571428571428571,165.85714285714286,9.0,0.0,7.0,7.0
aws-samples/amazon-ivs-feed-android-demo,0.0,0.0,6.0,305.5,2.0,0.0,2.0,2.0
aws-samples/amazon-ivs-feed-ios-demo,3.0,3.0,1.0,298.5,2.0,0.0,2.0,2.0
aws-samples/amazon-ivs-feed-web-demo,4.25,5.333333333333333,2.6666666666666665,263.3333333333333,4.0,0.0,3.0,3.0
aws-samples/amazon-ivs-mini-player-web-demo,3.4,4.0,2.25,254.75,5.0,0.0,4.0,4.0
aws-samples/amazon-ivs-on-demand-android-demo,6.333333333333333,6.333333333333333,2.0,2143.0,3.0,0.0,3.0,3.0
aws-samples/amazon-ivs-player-android-sample,0.0,0.0,0.2,1849.8,5.0,0.0,5.0,5.0
aws-samples/amazon-ivs-player-ios-sample,0.8888888888888888,0.8888888888888888,14.333333333333334,3246.1111111111113,9.0,0.0,9.0,9.0
aws-samples/amazon-ivs-player-web-sample,5.0,5.7272727272727275,35.0,2864.4545454545455,13.0,0.0,11.0,11.0
aws-samples/amazon-ivs-qos-dashboard-timed-metadata-sample,0.2619047619047619,0.12195121951219512,1.951219512195122,2842.560975609756,42.0,0.0,41.0,41.0
aws-samples/amazon-ivs-simple-chat-web-demo,3.6666666666666665,3.857142857142857,4.571428571428571,165.85714285714286,9.0,0.0,7.0,7.0
aws-samples/amazon-ivs-ugc-web-demo,3.8333333333333335,3.75,2.25,254.25,6.0,0.0,4.0,4.0
aws-samples/amazon-k8s-node-drainer,15.931034482758621,0.3181818181818182,28.09090909090909,1880.7727272727273,29.0,1.0,22.0,22.0
aws-samples/amazon-keyspaces-examples,0.8571428571428571,0.8571428571428571,1.0,318.07142857142856,14.0,0.0,14.0,14.0
aws-samples/amazon-keyspaces-toolkit,1.0,1.0,5.0,3987.6666666666665,3.0,0.0,3.0,3.0
aws-samples/amazon-kinesis-analytics-beam-taxi-consumer,1.25,0.0,6.0,3167.3333333333335,4.0,0.0,3.0,3.0
aws-samples/amazon-kinesis-analytics-realtime-anomaly-detection,3.1666666666666665,3.1666666666666665,1.0,420.6666666666667,6.0,0.0,6.0,6.0
aws-samples/amazon-kinesis-analytics-streaming-etl,0.0,0.0,6.0,3241.75,4.0,0.0,4.0,4.0
aws-samples/amazon-kinesis-data-analytics-flink-starter-kit,0.0,0.0,9.0,550.0,2.0,0.0,2.0,2.0
aws-samples/amazon-kinesis-data-analytics-java-examples,,,,,0.0,3.0,0.0,0.0
aws-samples/amazon-kinesis-data-processor-aws-fargate,0.0,0.0,1.0,203.0,3.0,0.0,2.0,2.0
aws-samples/amazon-kinesis-data-streams-for-dynamodb,9.875,9.142857142857142,4.0,1844.4285714285713,8.0,0.0,7.0,7.0
aws-samples/amazon-kinesis-learning,181.33333333333334,3.0,72.0,554.0,9.0,5.0,6.0,6.0
aws-samples/amazon-kinesis-replay,90.66666666666667,136.0,6.0,3210.0,3.0,0.0,2.0,2.0
aws-samples/amazon-kinesis-timestream-grafana,0.0,0.0,2.0,680.0,5.0,0.0,5.0,5.0
aws-samples/amazon-kinesis-video-streams-demos,1.3916083916083917,1.0571428571428572,26.22142857142857,1653.892857142857,143.0,0.0,140.0,140.0
aws-samples/amazon-kinesis-video-streams-media-screencast-android,,,,,0.0,1.0,0.0,0.0
aws-samples/amazon-kinesis-video-streams-media-viewer,0.3333333333333333,0.3333333333333333,251.33333333333334,3462.6666666666665,3.0,0.0,3.0,3.0
aws-samples/amazon-kinesis-video-streams-producer-embedded-c,0.0,0.0,0.0,415.0,1.0,0.0,1.0,1.0
aws-samples/amazon-kinesis-video-streams-webrtc-sdk-c-for-freertos,0.0,0.0,4.0,2702.3333333333335,6.0,0.0,6.0,6.0
aws-samples/amazon-kinesis-video-streams-webrtc-sdk-js-with-amazon-cognito,58.8,58.8,2.0,2733.2,5.0,1.0,5.0,5.0
aws-samples/amazon-lex-bi-bot,0.0,,,,1.0,0.0,0.0,0.0
aws-samples/amazon-lex-bot-deploy,5.8,5.8,1.0,476.0,5.0,1.0,5.0,5.0
aws-samples/amazon-lex-bot-export,1.6666666666666667,1.6666666666666667,3.0,2664.3333333333335,3.0,0.0,3.0,3.0
aws-samples/amazon-lex-bot-test,0.0,0.0,372.0,482.0,1.0,1.0,1.0,1.0
aws-samples/amazon-lex-connect-workshop,0.0,0.0,5.0,3408.3333333333335,3.0,0.0,3.0,3.0
aws-samples/amazon-lex-customerservice-workshop,174.71428571428572,137.0,43.0,1143.75,7.0,0.0,4.0,4.0
aws-samples/amazon-lex-support-bot,,,,,0.0,1.0,0.0,0.0
aws-samples/amazon-lex-twilio-integration,,,,,0.0,1.0,0.0,0.0
aws-samples/amazon-lightsail-examples,0.75,0.75,37.0,1874.25,4.0,0.0,4.0,4.0
aws-samples/amazon-location-samples,5.787878787878788,5.290322580645161,506.16129032258067,4719.8387096774195,33.0,5.0,31.0,31.0
aws-samples/amazon-lookout-for-equipment,0.0,0.0,7.0,2167.0,1.0,0.0,1.0,1.0
aws-samples/amazon-lookout-for-metrics-samples,0.42857142857142855,0.42857142857142855,29.857142857142858,3027.714285714286,14.0,0.0,14.0,14.0
aws-samples/amazon-lookout-for-vision-batch-processing,0.0,0.0,82.14285714285714,1785.4285714285713,7.0,0.0,7.0,7.0
aws-samples/amazon-lookout-for-vision-demo,0.5555555555555556,0.5555555555555556,261.1111111111111,3316.8888888888887,9.0,0.0,9.0,9.0
aws-samples/amazon-macie-demo-with-sample-data,0.0,0.0,2.0,2854.0,1.0,0.0,1.0,1.0
aws-samples/amazon-mq-fifo-starter-kit,101.0,151.5,9.0,682.0,3.0,0.0,2.0,2.0
aws-samples/amazon-mq-workshop,5.5,3.3125,44.0,3751.9375,18.0,0.0,16.0,16.0
aws-samples/amazon-msk-client-authentication,78.0,78.0,1.0,589.0,1.0,0.0,1.0,1.0
aws-samples/amazon-msk-java-app-cdk,0.0,0.0,0.0,760.0,1.0,0.0,1.0,1.0
aws-samples/amazon-mwaa-examples,3.25,3.25,0.0,147.0,4.0,1.0,4.0,4.0
aws-samples/amazon-neptune-samples,11.981481481481481,5.081632653061225,79.06122448979592,1930.2448979591836,54.0,2.0,49.0,49.0
aws-samples/amazon-personalize-automated-retraining,2.0,2.0,4.0,2553.0,2.0,0.0,2.0,2.0
aws-samples/amazon-personalize-samples,5.876712328767123,6.130434782608695,37.26086956521739,3652.1739130434785,73.0,5.0,69.0,69.0
aws-samples/amazon-pinpoint-call-generator,1.0,1.0,16.0,1318.0,1.0,1.0,1.0,1.0
aws-samples/amazon-pinpoint-connect-callback-requestor,1.1666666666666667,1.1666666666666667,2.0,2992.8333333333335,6.0,0.0,6.0,6.0
aws-samples/amazon-pinpoint-lex-bot,2.625,3.0,2.0,2960.714285714286,8.0,0.0,7.0,7.0
aws-samples/amazon-pinpoint-salesforce-channel,,,,,0.0,5.0,0.0,0.0
aws-samples/amazon-pinpoint-voice-channel,0.0,0.0,22.0,2272.0,1.0,0.0,1.0,1.0
aws-samples/amazon-qldb-dmv-sample-dotnet,1.3703703703703705,1.24,0.0,591.16,27.0,1.0,25.0,25.0
aws-samples/amazon-qldb-dmv-sample-java,0.5204081632653061,0.38202247191011235,0.3595505617977528,529.2247191011236,98.0,1.0,89.0,89.0
aws-samples/amazon-qldb-dmv-sample-nodejs,4.758620689655173,2.0,1.8431372549019607,560.5294117647059,58.0,1.0,51.0,51.0
aws-samples/amazon-qldb-dmv-sample-python,1.3571428571428572,0.6363636363636364,0.18181818181818182,498.6363636363636,42.0,3.0,33.0,33.0
aws-samples/amazon-qldb-double-entry-sample-java,2.0,2.0,21.0,86.0,3.0,0.0,3.0,3.0
aws-samples/amazon-qldb-kvs-nodejs,0.3333333333333333,0.3333333333333333,2.0,2370.6666666666665,3.0,0.0,3.0,3.0
aws-samples/amazon-qldb-streaming-amazon-elasticsearch-sample-python,1.0,1.0,0.0,146.25,4.0,1.0,4.0,4.0
aws-samples/amazon-qldb-streams-dmv-sample-lambda-python,0.0,0.0,7.0,93.0,3.0,0.0,3.0,3.0
aws-samples/amazon-quicksight-sdk-proserve,0.5294117647058824,0.5294117647058824,3.0588235294117645,1522.0,17.0,0.0,17.0,17.0
aws-samples/amazon-redshift-data-warehouse-migration,0.0,0.0,0.0,467.0,1.0,0.0,1.0,1.0
aws-samples/amazon-redshift-location-user-defined-functions,0.0,0.0,14.0,3475.0,6.0,0.0,6.0,6.0
aws-samples/amazon-redshift-udfs,6.0,7.2,41.8,686.8,6.0,5.0,5.0,5.0
aws-samples/amazon-redshift-with-cloudformation,0.0,0.0,1.0,308.0,1.0,1.0,1.0,1.0
aws-samples/amazon-rekognition-code-samples,16.0,16.0,16.0,1928.0,1.0,0.0,1.0,1.0
aws-samples/amazon-rekognition-custom-brand-detection,,,,,0.0,1.0,0.0,0.0
aws-samples/amazon-rekognition-custom-labels-batch-processing,0.0,0.0,163.28571428571428,2326.285714285714,7.0,0.0,7.0,7.0
aws-samples/amazon-rekognition-custom-labels-demo,0.13043478260869565,0.14285714285714285,271.85714285714283,2799.190476190476,23.0,0.0,21.0,21.0
aws-samples/amazon-rekognition-custom-labels-feedback-solution,65.0,65.0,31.0,1482.0,1.0,0.0,1.0,1.0
aws-samples/amazon-rekognition-custom-ppe-detection-with-custom-labels,,,,,0.0,1.0,0.0,0.0
aws-samples/amazon-rekognition-engagement-meter,1.2280701754385965,1.2777777777777777,270.8888888888889,2577.0185185185187,57.0,0.0,54.0,54.0
aws-samples/amazon-rekognition-image-for-box-skills,0.0,0.0,1.0,118.0,1.0,0.0,1.0,1.0
aws-samples/amazon-rekognition-ppe,0.11764705882352941,0.13333333333333333,207.2888888888889,2613.688888888889,51.0,0.0,45.0,45.0
aws-samples/amazon-rekognition-shot-detection-demo-using-segment-api,,,,,0.0,1.0,0.0,0.0
aws-samples/amazon-rekognition-video-analyzer,,,,,0.0,2.0,0.0,0.0
aws-samples/amazon-rekognition-virtual-proctor,0.17857142857142858,0.18518518518518517,217.25925925925927,2812.4814814814813,28.0,0.0,27.0,27.0
